CICLO,CP,LOJA,REGIONAL,UF,CANAL,SKU,PRODUTO,UN DO MATERIAL,CATEGORIA,SUB CATEGORIA,CAMPANHA,MARCA,COLABORE,VOLUME PEDIDO SUGESTÃO,VOLUME PEDIDO COLOCADO,GIRO (%),VOLUME PEDIDO FATURADO,LOCAL
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,ESSENCE,Não,3,8,133.33%,3,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,ESSENCE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,ESSENCE,Não,3,2,50.00%,2,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,ESSENCE,Não,3,9,133.33%,6,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,1302,PMPCK LILY DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,ESSENCE,Não,3,3,33.33%,3,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,ZAAD,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,ZAAD,Não,3,31,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,ZAAD,Não,3,1,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,ZAAD,Não,3,12,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,1314,PMPCK ZAAD DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,ZAAD,Não,3,25,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,10,0.00%,2,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,8,0.00%,4,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,10,75.00%,4,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,6,50.00%,2,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,1317,PMPCK MALBEC DES ANTIT AER 2x75g,BOT,DESODORANTES,DESODORANTE MASCULINO,OMNICHANNEL C202612,MALBEC,Não,3,18,0.00%,4,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,47145,CBEM DES ANTIT ROLL PROTECT/BEAUTY 55ml,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,CUIDE-SE BEM,Não,3,5,0.00%,5,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,47145,CBEM DES ANTIT ROLL PROTECT/BEAUTY 55ml,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,CUIDE-SE BEM,Não,3,20,0.00%,20,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,47145,CBEM DES ANTIT ROLL PROTECT/BEAUTY 55ml,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,CUIDE-SE BEM,Não,3,7,0.00%,7,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,47145,CBEM DES ANTIT ROLL PROTECT/BEAUTY 55ml,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,CUIDE-SE BEM,Não,3,3,66.67%,3,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,47145,CBEM DES ANTIT ROLL PROTECT/BEAUTY 55ml,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,CUIDE-SE BEM,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,47165,CBEM DES ANTIT CR CLIN ULTRA PROTECT 50g,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,CUIDE-SE BEM,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,47165,CBEM DES ANTIT CR CLIN ULTRA PROTECT 50g,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,CUIDE-SE BEM,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,47165,CBEM DES ANTIT CR CLIN ULTRA PROTECT 50g,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,CUIDE-SE BEM,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,47165,CBEM DES ANTIT CR CLIN ULTRA PROTECT 50g,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,CUIDE-SE BEM,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,47165,CBEM DES ANTIT CR CLIN ULTRA PROTECT 50g,BOT,DESODORANTES,DESODORANTE FEMININO,OMNICHANNEL C202612,CUIDE-SE BEM,Não,3,3,0.00%,3,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,47629,BOTICA 214 EDP GOLD/GARD 75ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,BOTICA 214,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,47629,BOTICA 214 EDP GOLD/GARD 75ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,BOTICA 214,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,47629,BOTICA 214 EDP GOLD/GARD 75ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,BOTICA 214,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,47629,BOTICA 214 EDP GOLD/GARD 75ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,BOTICA 214,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,47629,BOTICA 214 EDP GOLD/GARD 75ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,BOTICA 214,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,47949,THE BLEND EDP 100ml V2,BOT,PERFUMARIA,PERFUMARIA MASCULINA,OMNICHANNEL C202612,THE BLEND,Não,3,6,50.00%,6,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,47949,THE BLEND EDP 100ml V2,BOT,PERFUMARIA,PERFUMARIA MASCULINA,OMNICHANNEL C202612,THE BLEND,Não,3,4,100.00%,4,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,47949,THE BLEND EDP 100ml V2,BOT,PERFUMARIA,PERFUMARIA MASCULINA,OMNICHANNEL C202612,THE BLEND,Não,3,5,40.00%,5,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,47949,THE BLEND EDP 100ml V2,BOT,PERFUMARIA,PERFUMARIA MASCULINA,OMNICHANNEL C202612,THE BLEND,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,47949,THE BLEND EDP 100ml V2,BOT,PERFUMARIA,PERFUMARIA MASCULINA,OMNICHANNEL C202612,THE BLEND,Não,3,6,16.67%,6,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,48060,LILY CREM DES HID ACET CPO 250g V8,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,3,33.33%,3,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48060,LILY CREM DES HID ACET CPO 250g V8,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,0,0.00%,0,INTERIOR
