CICLO,PDV,SKU,MARCA,DATA LIMITE DE CAPTAÇÃO,SUGESTÃO COMERCIAL,PEDIDO REALIZADO,% ATINGIMNETO DA META
Ciclo 13 - 2026,24303,88295 - ZAAD EDP INFINITY 95ml,BOT,26/07/2026,3,5,166.67%
Ciclo 13 - 2026,24670,88295 - ZAAD EDP INFINITY 95ml,BOT,26/07/2026,6,6,100.00%
Ciclo 13 - 2026,24617,88295 - ZAAD EDP INFINITY 95ml,BOT,26/07/2026,3,3,100.00%
Ciclo 13 - 2026,24669,88295 - ZAAD EDP INFINITY 95ml,BOT,26/07/2026,4,4,100.00%
Ciclo 13 - 2026,24668,88295 - ZAAD EDP INFINITY 95ml,BOT,26/07/2026,8,8,100.00%
Ciclo 13 - 2026,24671,88295 - ZAAD EDP INFINITY 95ml,BOT,26/07/2026,5,5,100.00%
Ciclo 13 - 2026,24303,90981 - NSPA DES COL BDY SPLSH AMEIX/INT 200ml,BOT,26/07/2026,12,12,100.00%
Ciclo 13 - 2026,24670,90981 - NSPA DES COL BDY SPLSH AMEIX/INT 200ml,BOT,26/07/2026,42,42,100.00%
Ciclo 13 - 2026,24617,90981 - NSPA DES COL BDY SPLSH AMEIX/INT 200ml,BOT,26/07/2026,5,5,100.00%
Ciclo 13 - 2026,24669,90981 - NSPA DES COL BDY SPLSH AMEIX/INT 200ml,BOT,26/07/2026,32,32,100.00%
Ciclo 13 - 2026,24668,90981 - NSPA DES COL BDY SPLSH AMEIX/INT 200ml,BOT,26/07/2026,56,56,100.00%
Ciclo 13 - 2026,24671,90981 - NSPA DES COL BDY SPLSH AMEIX/INT 200ml,BOT,26/07/2026,34,34,100.00%
Ciclo 13 - 2026,24668,95795 - NSPA CR PERF DES HID CPO AMEIX/INT 400ml,BOT,26/07/2026,48,48,100.00%
Ciclo 13 - 2026,24671,95795 - NSPA CR PERF DES HID CPO AMEIX/INT 400ml,BOT,26/07/2026,29,29,100.00%
Ciclo 13 - 2026,24669,95795 - NSPA CR PERF DES HID CPO AMEIX/INT 400ml,BOT,26/07/2026,28,28,100.00%
Ciclo 13 - 2026,24617,95795 - NSPA CR PERF DES HID CPO AMEIX/INT 400ml,BOT,26/07/2026,4,4,100.00%
Ciclo 13 - 2026,24303,95795 - NSPA CR PERF DES HID CPO AMEIX/INT 400ml,BOT,26/07/2026,10,10,100.00%
Ciclo 13 - 2026,24670,95795 - NSPA CR PERF DES HID CPO AMEIX/INT 400ml,BOT,26/07/2026,36,36,100.00%
Ciclo 13 - 2026,24670,95797 - REF NSPA CR PERF DES HID CP AM/INT 350ml,BOT,26/07/2026,9,9,100.00%
Ciclo 13 - 2026,24303,95797 - REF NSPA CR PERF DES HID CP AM/INT 350ml,BOT,26/07/2026,3,4,133.33%
Ciclo 13 - 2026,24617,95797 - REF NSPA CR PERF DES HID CP AM/INT 350ml,BOT,26/07/2026,3,3,100.00%
Ciclo 13 - 2026,24669,95797 - REF NSPA CR PERF DES HID CP AM/INT 350ml,BOT,26/07/2026,7,7,100.00%
Ciclo 13 - 2026,24671,95797 - REF NSPA CR PERF DES HID CP AM/INT 350ml,BOT,26/07/2026,7,7,100.00%
Ciclo 13 - 2026,24668,95797 - REF NSPA CR PERF DES HID CP AM/INT 350ml,BOT,26/07/2026,12,12,100.00%
Ciclo 13 - 2026,24668,95798 - NSPA CR PERF DES HID CP AMEIX/INT 180ml,BOT,26/07/2026,33,33,100.00%
Ciclo 13 - 2026,24670,95798 - NSPA CR PERF DES HID CP AMEIX/INT 180ml,BOT,26/07/2026,25,25,100.00%
