CICLO,CP,LOJA,REGIONAL,UF,CANAL,SKU,PRODUTO,UN DO MATERIAL,CATEGORIA,SUB CATEGORIA,CAMPANHA,MARCA,COLABORE,VOLUME PEDIDO SUGESTÃO,VOLUME PEDIDO COLOCADO,GIRO (%),VOLUME PEDIDO FATURADO,LOCAL
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48696,LILY DES ANTIT AEROSSOL 75g V9,BOT,DESODORANTES,DESODORANTE FEMININO,BOLETO TURBINADO BOT C13'26,ESSENCE,Não,8,11,9.09%,11,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,48696,LILY DES ANTIT AEROSSOL 75g V9,BOT,DESODORANTES,DESODORANTE FEMININO,BOLETO TURBINADO BOT C13'26,ESSENCE,Não,3,3,166.67%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,48696,LILY DES ANTIT AEROSSOL 75g V9,BOT,DESODORANTES,DESODORANTE FEMININO,BOLETO TURBINADO BOT C13'26,ESSENCE,Não,6,6,16.67%,6,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,48696,LILY DES ANTIT AEROSSOL 75g V9,BOT,DESODORANTES,DESODORANTE FEMININO,BOLETO TURBINADO BOT C13'26,ESSENCE,Não,3,4,25.00%,4,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,48696,LILY DES ANTIT AEROSSOL 75g V9,BOT,DESODORANTES,DESODORANTE FEMININO,BOLETO TURBINADO BOT C13'26,ESSENCE,Não,7,10,20.00%,10,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48696,LILY DES ANTIT AEROSSOL 75g V9,BOT,DESODORANTES,DESODORANTE FEMININO,BOLETO TURBINADO BOT C13'26,ESSENCE,Não,6,10,60.00%,10,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,49025,FLORATTA DES BDY SPR ROSE 100ml V8,BOT,DESODORANTES,DESODORANTE FEMININO,BOLETO TURBINADO BOT C13'26,FLORATTA,Não,34,35,11.43%,35,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,49025,FLORATTA DES BDY SPR ROSE 100ml V8,BOT,DESODORANTES,DESODORANTE FEMININO,BOLETO TURBINADO BOT C13'26,FLORATTA,Não,3,5,40.00%,5,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,49025,FLORATTA DES BDY SPR ROSE 100ml V8,BOT,DESODORANTES,DESODORANTE FEMININO,BOLETO TURBINADO BOT C13'26,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,49025,FLORATTA DES BDY SPR ROSE 100ml V8,BOT,DESODORANTES,DESODORANTE FEMININO,BOLETO TURBINADO BOT C13'26,FLORATTA,Não,30,30,13.33%,30,INTERIOR
