Listar Por Lojas;Quebrar Por Gestão estratégica;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;11 - EMBALAGENS;83,31;67,19;1,24;5,65;;;;;;;;;;;84,42;84,42;0,00;1,17;90,00;231,93;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;13 - ÓLEOS;230,49;144,96;1,59;1,89;;;;;;;;;;;230,49;230,49;99,90;1,14;71,70;49,21;0,00;0,00;0,00;1,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;14 - CUIDADOS FACIAIS;140,83;485,62;0,29;6,90;;;;;;;;;;;140,83;140,83;0,00;0,29;100,00;36,97;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;15 - DESODORANTES;1.732,32;121,14;14,30;2,94;;;;;;;;;;;1.758,64;1.758,64;132,12;15,10;98,69;427,86;0,00;0,00;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;16 - INFANTIL;1.545,89;149,80;10,32;2,23;;;;;;;;;;;1.588,30;1.588,30;193,91;11,32;100,00;391,30;0,00;0,00;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;17 - ACESSÓRIOS;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;18 - SOLAR;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;19 - CUIDADOS COM A BARBA;67,90;67,90;1,00;1,00;;;;;;;;;;;67,90;67,90;67,90;1,00;100,00;0,00;0,00;0,00;0,00;1,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;2 - MAQUIAGEM;2.146,23;188,27;11,40;2,98;;;;;;;;;;;2.146,23;2.146,23;276,22;11,40;100,00;765,37;0,00;0,00;0,00;4,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;20 - CUIDADOS COM A PELE;2.848,08;219,76;12,96;3,24;;;;;;;;;;;3.150,92;3.150,92;138,07;16,10;91,22;707,38;0,00;0,00;0,00;2,00
