Listar Por Lojas;Quebrar Por Canal de venda;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;1 - Loja;51.921,45;246,07;211,00;3,31;;;;;;;;;;;52.869,26;51.923,41;2.379,56;212,00;95,07;31.123,47;945,85;5,00;0,00;30,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;11 - Parcerias;0,00;0,00;0,00;0,00;;;;;;;;;;;372,35;372,35;92,65;3,00;100,00;15,15;0,00;0,00;0,00;2,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;14 - Make Experimentação;8.403,77;350,16;24,00;4,42;;;;;;;;;;;8.502,91;8.404,01;0,00;24,00;100,00;4.720,47;98,90;1,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;3 - Whatsapp Oficial;2.924,65;292,46;10,00;3,40;;;;;;;;;;;2.924,70;2.924,70;254,90;10,00;100,00;1.754,55;0,00;0,00;0,00;1,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - Loja;35.751,53;190,17;188,00;2,19;;;;;;;;;;;35.986,51;35.751,71;7.034,16;182,00;96,81;12.553,41;234,80;2,00;0,00;72,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - Calçada Perfumada;5.648,27;235,34;24,00;3,17;;;;;;;;;;;5.648,34;5.648,34;502,10;23,00;95,83;3.410,66;0,00;0,00;0,00;6,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - Loja;82.137,37;176,64;465,00;2,71;;;;;;;;;;;83.949,95;82.137,85;14.296,60;436,00;89,16;33.567,97;1.812,10;8,00;0,00;139,00
