Listar Por Lojas;Quebrar Por Data;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;31/08/2026;2.686,63;206,66;13,00;2,54;;;;;;;;;;;2.686,68;2.686,68;65,02;13,00;100,00;796,07;0,00;0,00;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;01/09/2026;3.784,95;210,27;18,00;2,61;;;;;;;;;;;4.178,70;4.064,80;314,70;18,00;94,74;1.099,10;113,90;1,00;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;02/09/2026;1.007,27;251,82;4,00;3,00;;;;;;;;;;;1.007,30;1.007,30;0,00;4,00;100,00;542,00;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;03/09/2026;5.013,78;313,36;16,00;4,25;;;;;;;;;;;5.341,77;5.013,97;0,00;15,00;93,75;2.552,78;327,80;2,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;04/09/2026;3.059,98;218,57;14,00;2,79;;;;;;;;;;;3.060,15;3.060,15;343,70;14,00;100,00;1.250,40;0,00;0,00;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;05/09/2026;1.749,56;291,59;6,00;3,67;;;;;;;;;;;1.749,63;1.749,63;0,00;6,00;100,00;746,67;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;09/09/2026;6.274,49;330,24;19,00;3,89;;;;;;;;;;;6.785,06;6.333,36;128,44;21,00;95,45;3.437,50;451,70;1,00;0,00;2,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;10/09/2026;3.188,90;289,90;11,00;3,27;;;;;;;;;;;3.188,95;3.188,95;0,00;10,00;90,91;1.349,90;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;11/09/2026;2.022,38;202,24;10,00;2,50;;;;;;;;;;;2.022,48;2.022,48;394,83;13,00;100,00;883,94;0,00;0,00;0,00;5,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;12/09/2026;2.588,87;235,35;11,00;3,09;;;;;;;;;;;2.588,94;2.588,94;0,00;11,00;100,00;1.002,06;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;14/09/2026;2.742,58;210,97;13,00;2,23;;;;;;;;;;;2.742,72;2.742,72;215,01;16,00;100,00;1.237,28;0,00;0,00;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;15/09/2026;20.176,08;296,71;68,00;4,56;;;;;;;;;;;20.362,07;20.210,72;892,79;67,00;95,71;17.977,55;151,35;2,00;0,00;8,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;17/09/2026;2.361,16;181,63;13,00;2,69;;;;;;;;;;;2.361,24;2.361,24;59,92;14,00;93,33;1.226,19;0,00;0,00;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;18/09/2026;2.911,05;207,93;14,00;2,64;;;;;;;;;;;2.911,26;2.911,26;0,00;14,00;93,33;1.838,57;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;19/09/2026;3.682,19;245,48;15,00;2,53;;;;;;;;;;;3.682,27;3.682,27;312,70;13,00;86,67;1.673,63;0,00;0,00;0,00;3,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;31/08/2026;1.065,55;177,59;6,00;3,00;;;;;;;;;;;1.065,60;1.065,60;0,00;6,00;100,00;560,10;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;01/09/2026;889,72;148,29;6,00;2,83;;;;;;;;;;;889,72;889,72;173,80;6,00;100,00;219,58;0,00;0,00;0,00;2,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;02/09/2026;940,40;117,55;8,00;1,50;;;;;;;;;;;940,40;940,40;554,80;7,00;87,50;245,49;0,00;0,00;0,00;4,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;03/09/2026;284,84;94,95;3,00;2,67;;;;;;;;;;;284,84;284,84;0,00;2,00;66,67;70,36;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;04/09/2026;2.307,38;230,74;10,00;2,10;;;;;;;;;;;2.307,38;2.307,38;337,91;10,00;100,00;698,52;0,00;0,00;0,00;2,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;05/09/2026;3.324,53;195,56;17,00;2,41;;;;;;;;;;;3.534,48;3.324,58;666,97;17,00;100,00;898,86;209,90;1,00;0,00;6,00
