Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033775248;LILY EDP 75ML V2;1,000;293,17;293,17;121,74;0,00;0,00;171,43;58,47;140,82;11,15;11,15;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033899609;ESTJ LILY L EAU AMOR/26;2,000;377,85;188,92;211,22;0,00;0,00;166,63;44,10;78,89;10,84;21,99;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033909810;NSPA DES COL BDY SPLSH AMEIX/INT 200ml;2,000;182,92;91,46;41,14;0,00;0,00;141,78;77,51;344,63;9,22;31,21;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033909537;GLAMOUR DES COL INTENSE 75ml;1,000;179,91;179,91;38,83;0,00;0,00;141,08;78,42;363,33;9,18;40,39;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033878963;FLORATTA EDP RED PASSION V2 75ml;1,000;210,69;210,69;99,82;0,00;0,00;110,87;52,62;111,07;7,21;47,60;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033894840;NSPA TRIO SAB BARR BES SEL COLL 3x100g;2,000;129,80;64,90;34,12;0,00;0,00;95,68;73,71;280,42;6,22;53,82;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033826865;EGEO DES COL BLUE C/CAR 90ml;1,000;111,25;111,25;32,86;0,00;0,00;78,39;70,46;238,56;5,10;58,92;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033479085;DREAM DES COL SPLSH VIAG/ENC 200ml V2;1,000;118,99;118,99;46,74;0,00;0,00;72,25;60,72;154,58;4,70;63,62;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033958016;NSPA OL GLOR DES HID CPO AMEIX/INT 200ml;2,000;155,85;77,92;88,34;0,00;0,00;67,51;43,32;76,42;4,39;68,01;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033905133;MALBEC DES COL V7 100ml;1,000;149,99;149,99;87,42;0,00;0,00;62,57;41,72;71,57;4,07;72,08;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033718771;BOTICOLL CRAZY DES COL FEELINGS 100ml;1,000;96,14;96,14;40,32;0,00;0,00;55,82;58,06;138,44;3,63;75,71;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033903818;PMPCK MALBEC DES BODY SPRAY;1,000;74,91;74,91;19,32;0,00;0,00;55,59;74,21;287,73;3,62;79,32;A;;
31/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033826889;EGEO DES COL DOLCE C/CAR 90ml;1,000;113,03;113,03;57,47;0,00;0,00;55,56;49,16;96,68;3,61;82,94;B;;
