Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033881352;FLORATTA EDP ROSE SUCREE 75ml;1,000;221,10;221,10;52,17;0,00;0,00;168,93;76,40;323,81;24,85;24,85;A;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033905133;MALBEC DES COL V7 100ml;1,000;211,48;211,48;83,42;0,00;0,00;128,06;60,55;153,51;18,83;43,68;A;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033483136;FLORATTA DES COL ROSE V4 75ml;1,000;157,41;157,41;69,52;0,00;0,00;87,89;55,84;126,42;12,93;56,61;A;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033480609;LILY CREM DES HID ACET CPO 250g V8;1,000;144,16;144,16;59,62;0,00;0,00;84,54;58,64;141,80;12,43;69,04;A;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033595174;REF NSPA LOC DES HID CPO AMEIXA 350ml;1,000;67,22;67,22;10,51;0,00;0,00;56,71;84,36;539,58;8,34;77,38;A;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033520251;BOTI BABY SAB LIQ GLIC V2 400ml;1,000;64,98;64,98;12,79;0,00;0,00;52,19;80,32;408,05;7,68;85,06;B;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033589807;REF NSPA LOC DES HID CP UVA MERLOT 350ml;2,000;106,96;53,48;56,40;0,00;0,00;50,56;47,27;89,65;7,44;92,49;B;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033902439;ESTJ CLASH PAIS/26;1,000;125,93;125,93;79,20;0,00;0,00;46,73;37,11;59,00;6,87;99,37;C;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033518036;BOTI BABY COND V2 400ml;1,000;64,98;64,98;28,53;0,00;0,00;36,45;56,09;127,76;5,36;104,73;C;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033944996;CBEM SAB BARRA PESSEGURA V3 4x80g;1,000;26,91;26,91;12,82;0,00;0,00;14,09;52,36;109,91;2,07;106,80;C;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033908226;SACOLA M BOTICARIO INST/25;2,000;0,02;0,01;3,12;0,00;0,00;-3,10;-15500,00;-99,36;-0,46;106,34;C;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033520244;REF BOTI BABY SAB LIQ GLIC 350ml;1,000;0,01;0,01;20,78;0,00;0,00;-20,77;-207700,00;-99,95;-3,05;103,29;C;;
10/08/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033518067;REF BOTI BABY COND 350ml;1,000;0,01;0,01;22,37;0,00;0,00;-22,36;-223600,00;-99,96;-3,29;100,00;C;;
10/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033479498;THE BLEND EDP 100ml V2;1,000;304,42;304,42;151,02;0,00;0,00;153,40;50,39;101,58;28,14;28,14;A;;
10/08/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033843879;MALBEC DES COL V6 100ml;1,000;219,90;219,90;83,50;0,00;0,00;136,40;62,03;163,35;25,02;53,17;A;;
