CICLO,PDV,SKU,MARCA,DATA LIMITE DE CAPTAÇÃO,SUGESTÃO COMERCIAL,PEDIDO REALIZADO,% ATINGIMNETO DA META
Ciclo 13 - 2026,13706,88295 - ZAAD EDP INFINITY 95ml,BOT,26/07/2026,100,100,100.00%
Ciclo 13 - 2026,13707,88295 - ZAAD EDP INFINITY 95ml,BOT,26/07/2026,218,218,100.00%
Ciclo 13 - 2026,13706,90981 - NSPA DES COL BDY SPLSH AMEIX/INT 200ml,BOT,26/07/2026,478,478,100.00%
Ciclo 13 - 2026,13707,90981 - NSPA DES COL BDY SPLSH AMEIX/INT 200ml,BOT,26/07/2026,1037,1037,100.00%
Ciclo 13 - 2026,13706,95795 - NSPA CR PERF DES HID CPO AMEIX/INT 400ml,BOT,26/07/2026,492,492,100.00%
Ciclo 13 - 2026,13707,95795 - NSPA CR PERF DES HID CPO AMEIX/INT 400ml,BOT,26/07/2026,1067,1067,100.00%
Ciclo 13 - 2026,13706,95797 - REF NSPA CR PERF DES HID CP AM/INT 350ml,BOT,26/07/2026,105,105,100.00%
Ciclo 13 - 2026,13707,95797 - REF NSPA CR PERF DES HID CP AM/INT 350ml,BOT,26/07/2026,229,229,100.00%
Ciclo 13 - 2026,13706,95798 - NSPA CR PERF DES HID CP AMEIX/INT 180ml,BOT,26/07/2026,45,45,100.00%
Ciclo 13 - 2026,13707,95798 - NSPA CR PERF DES HID CP AMEIX/INT 180ml,BOT,26/07/2026,99,99,100.00%
Ciclo 13 - 2026,13706,95801 - NSPA OL GLOR DES HID CPO AMEIX/INT 200ml,BOT,26/07/2026,89,89,100.00%
Ciclo 13 - 2026,13707,95801 - NSPA OL GLOR DES HID CPO AMEIX/INT 200ml,BOT,26/07/2026,193,193,100.00%
Ciclo 13 - 2026,13706,95802 - NSPA ACUC ESF CPO AMEIX/INT 180g,BOT,26/07/2026,112,112,100.00%
Ciclo 13 - 2026,13707,95802 - NSPA ACUC ESF CPO AMEIX/INT 180g,BOT,26/07/2026,244,244,100.00%
Ciclo 13 - 2026,13706,95803 - NSPA SAB BARRA CP AMEIX/INT 90g,BOT,26/07/2026,83,83,100.00%
Ciclo 13 - 2026,13707,95803 - NSPA SAB BARRA CP AMEIX/INT 90g,BOT,26/07/2026,179,179,100.00%
